pvalue,CHR,P,SNP,BP
0.6715573497130498,0,0.1729168934935603,0,0
0.2845672512675428,0,0.5458150811039849,1,1
0.9571899628318267,0,0.019001864080336984,2,2
0.9063410302739008,0,0.04270835894758475,3,3
0.9606733091169443,0,0.017424275358768306,4,4
0.7974573561195554,0,0.0982925314646772,5,5
0.5733268995554489,0,0.24159768136428336,6,6
0.12691753211129408,0,0.8964783812680266,7,7
0.6456869762369872,0,0.18997797339817638,8,8
0.9714459062498154,0,0.012581377535919702,9,9
0.49298487921053935,0,0.3071664011611738,10,10
0.5071835548316074,0,0.294834836675366,11,11
0.3071752169477321,0,0.5126138263261406,12,12
0.6885777901145165,0,0.16204698945339885,13,13
0.2988466658597956,0,0.5245515850930403,14,14
0.13173378558582471,0,0.880302827834252,15,15
0.01846379283521038,0,1.7336790813054346,16,16
0.8541784831027335,0,0.06845137272123693,17,17
0.8069279447610174,0,0.09316524419963393,18,18
0.4694787528126465,0,0.3283840578068705,19,19
0.9743698136286066,0,0.011276179121704567,20,20
0.2874505387469989,0,0.5414368730516488,21,21
0.6213131854795569,0,0.20668942971176843,22,22
0.9391942096519216,0,0.027244593613465262,23,23
0.9776340451387582,0,0.009823682962355588,24,24
0.8363689714875192,0,0.07760208747764823,25,25
0.33313187398018507,0,0.47738381212582504,26,26
0.8699150791438426,0,0.06052314101277077,27,27
0.16603540121549698,0,0.7797993040479874,28,28
0.037077297228512274,0,1.4308919315265778,29,29
0.6085926941068018,0,0.2156732654647823,30,30
0.3583901697572569,0,0.4456439110599362,31,31
0.33047763712430267,0,0.48085792317412734,32,32
0.25045502100457984,0,0.6012702573554822,33,33
0.848423983835333,0,0.07138706304548684,34,34
0.02939877650605416,0,1.5316707433200178,35,35
0.630868283148738,0,0.20006130616468595,36,36
0.513608772164962,0,0.28936756735683683,37,37
0.29582461411288075,0,0.5289656933253774,38,38
0.6619690061994677,0,0.17916234402201073,39,39
0.32497533323888583,0,0.4881496022358681,40,40
0.7626243766080187,0,0.1176893170047135,41,41
0.9730161682666366,0,0.011879943153392586,42,42
0.3195747271970919,0,0.4954275731403765,43,43
0.4199918504356168,0,0.3767591366144326,44,44
0.20932747614025327,0,0.6791737628083679,45,45
0.5296913141313584,0,0.275977148559116,46,46
0.2881848767855527,0,0.5403288136015376,47,47
0.2546823815563407,0,0.5940010976650311,48,48
0.9779464689510103,0,0.009684917068695807,49,49
0.6575161980016668,0,0.18209354380232526,50,50
0.1918125266586408,0,0.7171230338646377,51,51
0.8242860387086092,0,0.08392205592866106,52,52
0.7264028216609285,0,0.13882247749717092,53,53
0.4145927401331132,0,0.3823783070364977,54,54
0.8205805746850222,0,0.08587876814775369,55,55
0.0718737537619425,0,1.1434296725841049,56,56
0.7675981611625877,0,0.11486607431944494,57,57
0.11355966783492288,0,0.9447758864673415,58,58
0.6683229567802739,0,0.175013620678253,59,59
0.07129677078312979,0,1.1469301400335061,60,60
0.6603770438015459,0,0.18020803220451592,61,61
0.10201249759358,0,0.9913466193807852,62,62
0.5749581077782788,0,0.24036379743822295,63,63
0.8782752068734487,0,0.05636937691999765,64,64
0.6646359142869375,0,0.17741619487310573,65,65
0.17200158303926427,0,0.7644675559874898,66,66
0.6018733835480924,0,0.22049486191491913,67,67
0.17974046658690312,0,0.7453541352621895,68,68
0.02831819100039068,0,1.5479344933424846,69,69
0.9386901487852712,0,0.02747773987425976,70,70
0.48685099445271274,0,0.31260393855716534,71,71
0.11547816695507207,0,0.9375001185185041,72,72
0.6396957865336392,0,0.19402650982834416,73,73
0.3070208885351997,0,0.5128320757704985,74,74
0.2574265448864007,0,0.5893466722595726,75,75
0.5132754281188329,0,0.28964952609153016,76,76
0.3534959054654334,0,0.4516156122604815,77,77
0.6435048766531398,0,0.19144815754665942,78,78
0.30016820713021886,0,0.5226353087586569,79,79
0.053441761690103395,0,1.2721192339217309,80,80
0.6743597076752287,0,0.17110838627338948,81,81
0.998265732680982,0,0.0007538365929840483,82,82
0.9612515883625076,0,0.01716292956606274,83,83
0.7276543021812089,0,0.13807489858921546,84,84
0.05586162557346119,0,1.2528864304804836,85,85
0.516198704646227,0,0.2871830896133464,86,86
0.6525312514116789,0,0.18539868400403856,87,87
0.06808924914667858,0,1.1669214549720783,88,88
0.4315039429766937,0,0.3650152314546893,89,89
0.08026154087097981,0,1.0954925068830148,90,90
0.7879236100296372,0,0.10351588574744953,91,91
0.3115763566811487,0,0.5064355052757574,92,92
0.6252648447717835,0,0.20393598864034018,93,93
0.5373804209268899,0,0.2697181608249057,94,94
0.4993449833377065,0,0.3015993088990878,95,95
0.07135563675326118,0,1.146571714011926,96,96
0.14409737419916457,0,0.8413439330042167,97,97
0.7408107838101632,0,0.13029270435641313,98,98
0.7111293599539062,0,0.1480513905444487,99,99
0.3004214251895555,0,0.5222690979335398,100,100
0.49623474139782875,0,0.30431283403962006,101,101
0.16594167116740255,0,0.7800445405245031,102,102
0.4199928253875438,0,0.3767581284621313,103,103
0.25831822604717913,0,0.5878449504179875,104,104
0.3226666872371676,0,0.49124586972432216,105,105
0.5916351593588371,0,0.22794602490197544,106,106
0.6252166401834972,0,0.20396947172178903,107,107
0.2261260522326749,0,0.6456493992243082,108,108
0.925910298839851,0,0.0334310852466336,109,109
0.05762818088280486,0,1.2393650893381114,110,110
0.4019584793519215,0,0.39581880542209386,111,111
0.13641567642644836,0,0.8651357191641387,112,112
0.7586074076238831,0,0.11998292082849674,113,113
0.7735450020161748,0,0.11151441556670115,114,114
0.992545513003319,0,0.0032495696096785424,115,115
0.7508801231085639,0,0.12442939192797198,116,116
0.2611547745937368,0,0.5831020297130382,117,117
0.24459205208686874,0,0.6115576592821383,118,118
0.8114129543984085,0,0.09075806296292928,119,119
0.02049553749246158,0,1.6883406878891107,120,120
0.9133997756547508,0,0.039339099398512094,121,121
0.8269759684370265,0,0.08250711067337052,122,122
0.3889771005551418,0,0.4100759652431189,123,123
0.5275591809347547,0,0.27772881468100463,124,124
0.06091850351772343,0,1.2152507737860538,125,125
0.8600713012067587,0,0.0654655435970597,126,126
0.7549290276804882,0,0.12209387530530934,127,127
0.9616865102653421,0,0.016966475831212396,128,128
0.09369201579848041,0,1.0282974170354215,129,129
0.9697433497437722,0,0.013343190000126725,130,130
0.282009403502715,0,0.5497364100449971,131,131
0.4996467820784848,0,0.3013369052711697,132,132
0.8981067820721386,0,0.04667202401457323,133,133
0.08712803684114512,0,1.0598420713287497,134,134
0.6978195229408589,0,0.15625688443379532,135,135
0.1469060141478995,0,0.8329604243746095,136,136
0.9879516856186202,0,0.0052642934511222175,137,137
0.5245770431954516,0,0.2801907191434744,138,138
0.24520969252220914,0,0.6104623672461332,139,139
0.060100556428497875,0,1.2211215071535408,140,140
0.15840271666587236,0,0.8002373743697564,141,141
0.8838589597340629,0,0.05361703124952221,142,142
0.042762567846220234,0,1.3689362237635443,143,143
0.6369177789568918,0,0.19591662802577747,144,144
0.3522647970342231,0,0.4531307551090514,145,145
0.10449696254175578,0,0.9808963331943288,146,146
0.7463034237459224,0,0.12708456600314638,147,147
0.08607619019264157,0,1.0651169635053914,148,148
0.6727441659903836,0,0.17215005973168424,149,149
0.28548097364938463,0,0.544422830726115,150,150
0.6625323758822713,0,0.17879289426140177,151,151
0.07228010035291399,0,1.1409812531408992,152,152
0.34493848002742566,0,0.46225835468626275,153,153
0.04904653775475787,0,1.3093916444934912,154,154
0.8006232806444943,0,0.0965717855668642,155,155
0.018259749497332667,0,1.7385051847793962,156,156
0.6922743663589007,0,0.15972174921333168,157,157
0.007115172219640087,0,2.1478145835439726,158,158
0.8854207547409485,0,0.05285030214051874,159,159
0.1717830252256607,0,0.7650197532815546,160,160
0.7599731559868038,0,0.11920174773591688,161,161
0.8001871813923844,0,0.09680841008666873,162,162
0.4173862018658345,0,0.3794619121286819,163,163
0.9748375151767895,0,0.011067765986324021,164,164
0.2554512986613334,0,0.5926918851131824,165,165
0.5446202955907585,0,0.26390617845907843,166,166
0.3301307060065073,0,0.48131407933829795,167,167
0.6293913585886025,0,0.201079224154049,168,168
0.9788261733443174,0,0.009294426337989124,169,169
0.05758434150821912,0,1.2396955950678088,170,170
0.2670659392614365,0,0.5733814969807041,171,171
0.003480175880452574,0,2.4583988072086327,172,172
0.14750796953414913,0,0.8311845150674853,173,173
0.721347671683908,0,0.14185536565392146,174,174
0.21501527628276462,0,0.6675306834814907,175,175
0.5909625132258697,0,0.228440067029905,176,176
0.6059559324723522,0,0.2175589583089246,177,177
0.4164472472171822,0,0.3804400043255743,178,178
0.5869524197781694,0,0.23139710261150612,179,179
0.10113699485040861,0,0.9950899549873835,180,180
0.06030671937425525,0,1.219634296075725,181,181
0.7796989704896115,0,0.1080730392190787,182,182
0.37504450146156876,0,0.4259171973588701,183,183
0.09203350907583963,0,1.0360540187729617,184,184
0.7053439084593109,0,0.15159907998917732,185,185
0.10501369011192507,0,0.9787540804300274,186,186
0.02472103748991772,0,1.6069333067753213,187,187
0.0004013585752241644,0,3.396467453672007,188,188
0.9173503035129122,0,0.03746479101318967,189,189
0.9307362244108303,0,0.0311733829437201,190,190
0.021501653503405715,0,1.6675281410242768,191,191
0.43705531320938684,0,0.35946359574940245,192,192
0.04044929785914231,0,1.393089012705519,193,193
0.7070524687128399,0,0.15054835702777145,194,194
0.3572663795274532,0,0.4470078510595392,195,195
0.4750834589185484,0,0.32323009024056276,196,196
0.5939614475929913,0,0.22624174296660185,197,197
0.016590040625374503,0,1.780152550482308,198,198
0.1470703514689552,0,0.8324748697009206,199,199
0.8299088449164247,0,0.08096960680928224,200,200
0.6397613426069435,0,0.19398200557686474,201,201
0.6322402825406829,0,0.19911783698773583,202,202
0.9685166655429198,0,0.013892901851368478,203,203
0.5674206101277183,0,0.24609489359801182,204,204
0.30432616696315906,0,0.5166607039706863,205,205
0.13660494863641226,0,0.8645335676635741,206,206
0.24630607349642986,0,0.6085248790522301,207,207
0.9521075502103817,0,0.02131399087529506,208,208
0.2498692613037048,0,0.6022871671119617,209,209
0.30373332272838105,0,0.5175075588121578,210,210
0.8925820364907581,0,0.049351857727891656,211,211
0.905540403364852,0,0.043092167584108346,212,212
0.5991986061367108,0,0.22242920556866852,213,213
0.27058699290054034,0,0.5676930837446417,214,214
0.8615005827291141,0,0.06474442445396417,215,215
0.6702619846468063,0,0.17375541185542617,216,216
0.9934899880515167,0,0.0028365051579794438,217,217
0.8569462053973923,0,0.06704643995818739,218,218
0.8719068999820679,0,0.059529885460361226,219,219
0.16295812276114918,0,0.787923986948307,220,220
0.8506905244636775,0,0.07022840461846296,221,221
0.938537555573403,0,0.027548344404421287,222,222
0.46627607563289586,0,0.3313568673831018,223,223
0.8555943974237908,0,0.06773206792460786,224,224
0.8723028765931848,0,0.05933269534890237,225,225
0.22823831738732037,0,0.6416114430338382,226,226
0.3672397060161502,0,0.4350503689428509,227,227
0.8117146933439798,0,0.09059659253177896,228,228
0.06589648208156196,0,1.1811377698270258,229,229
0.5727173422794889,0,0.242059665948566,230,230
0.1298451641860433,0,0.8865742201311329,231,231
0.571686549278125,0,0.24284202580743128,232,232
0.8358113926228073,0,0.07789171345142731,233,233
0.6992632764390798,0,0.15535927922244178,234,234
0.6169424466932593,0,0.20975534852651,235,235
0.4683233130433804,0,0.3294542225850163,236,236
0.3978480226345885,0,0.4002827961074159,237,237
0.5795179763034917,0,0.23693308793450807,238,238
0.13696580814851467,0,0.8633878356592846,239,239
0.6994990087588131,0,0.15521289659871929,240,240
0.9730906729050238,0,0.011846690145223632,241,241
0.7483091612352948,0,0.12591893785917654,242,242
0.8545076069445794,0,0.06828406677665555,243,243
0.5618522093294376,0,0.2503779070529869,244,244
0.6931464050528814,0,0.15917502485257046,245,245
0.3830384325724331,0,0.4167576484419579,246,246
0.24065501874542228,0,0.6186050768882831,247,247
0.7931499055270956,0,0.1006447231608555,248,248
0.058023885565505195,0,1.2363931920594535,249,249
0.24226818948642082,0,0.6157036062399496,250,250
0.0830946850866322,0,1.0804267537293157,251,251
0.41380249076096065,0,0.3832068995560131,252,252
0.5240213067380333,0,0.28065105421735964,253,253
0.7522229423594512,0,0.1236534249841251,254,254
0.40432613314860166,0,0.3932681876412348,255,255
0.5186620765836829,0,0.2851155054911828,256,256
0.8679488814809513,0,0.061505852178912024,257,257
0.19116511283847537,0,0.7185913625002582,258,258
0.1806178798046324,0,0.7432392600239883,259,259
0.5039382669138369,0,0.29762266192898845,260,260
0.7523722562369175,0,0.12356722745627366,261,261
0.7265502758614623,0,0.13873432799536756,262,262
0.5823093067225323,0,0.23484626875177061,263,263
0.7295846851654846,0,0.13692429093228345,264,264
0.023933492306228543,0,1.6209939257633565,265,265
0.4396093310961665,0,0.35693309786691246,266,266
0.35027559275941156,0,0.4555901233137652,267,267
0.9479426838065507,0,0.02321792095208031,268,268
0.6588187981287447,0,0.18123401756677646,269,269
0.9553938041507574,0,0.01981757949798833,270,270
